FileName,DomainID,ConversationID,UtteranceID,SpeakerID,PlainText
2_0001_0001_A,2,1,1,A,你好。
2_0001_0002_B,2,1,2,B,您好，请问有什么能为您服务的。
2_0001_0003_A,2,1,3,A,给我介绍一下你们养老院主要的配备设施吧。
2_0001_0004_B,2,1,4,B,我们养老院主要的配备设施有健身设施、医疗保健设施、呼叫设施、无障碍设施、特护设施、消毒设施等等。
2_0001_0005_A,2,1,5,A,这个健身设施……主要有哪些？
2_0001_0006_B,2,1,6,B,健身设施主要有太空漫步机、蹬力器、健骑机、扭腰器、牵引器等等。
2_0001_0007_A,2,1,7,A,一般哪个健身设施比较受欢迎呀？
2_0001_0008_B,2,1,8,B,健身设施都挺受老年人欢迎的，其中扭腰器是最受欢迎的。
2_0001_0009_A,2,1,9,A,那我要是想去玩健身设施，还要提前预约吗？
2_0001_0010_B,2,1,10,B,不需要提前预约，直接到健身活动区即可。
2_0001_0011_A,2,1,11,A,好，了解了。
2_0001_0012_B,2,1,12,B,还有什么其他需要了解的吗？
2_0001_0013_A,2,1,13,A,暂时没有了。
2_0001_0014_B,2,1,14,B,好的。
2_0002_0001_A,2,2,1,A,你好。
2_0002_0002_B,2,2,2,B,您好，请问有什么需要吗？
2_0002_0003_A,2,2,3,A,这个养老院有什么医疗保健设施吗？
2_0002_0004_B,2,2,4,B,我们养老院主要的医疗保健设施有颈椎牵引器、家庭保健药箱、制氧机、氧气袋、便携式吸痰器和助行器等等。
2_0002_0005_A,2,2,5,A,那需要这些医疗保健设施时，应该要去哪里取呢？
2_0002_0006_B,2,2,6,B,直接呼叫护工或者前往医疗保健室即可。
2_0002_0007_A,2,2,7,A,使用之前需要提前预定吗？
2_0002_0008_B,2,2,8,B,不需要预定。
2_0002_0009_A,2,2,9,A,好，我知道了。
2_0002_0010_B,2,2,10,B,请问您还有其他想要了解的信息吗？
2_0002_0011_A,2,2,11,A,没有了。
2_0002_0012_B,2,2,12,B,好的。
2_0003_0001_A,2,3,1,A,你好。
2_0003_0002_B,2,3,2,B,您好，请问有什么能为您服务的吗？
2_0003_0003_A,2,3,3,A,我想了解一些关于这个养老院的信息。
2_0003_0004_B,2,3,4,B,请问您具体是想了解哪方面的信息呢？
2_0003_0005_A,2,3,5,A,你们这是个综合类的养老院吗？
2_0003_0006_B,2,3,6,B,是的，我们是综合类养老院，我们可以为老年人提供生活照料、膳食、康复、护理、医疗保健等综合性服务。
2_0003_0007_A,2,3,7,A,哦，这样啊。那个……你刚刚说的综合性服务，你能说得再详细点儿吗？
2_0003_0008_B,2,3,8,B,这个综合性服务是指，我们可以为老年人提供居住、生活照料、医疗保健、文化娱乐等多方面的服务。
2_0003_0009_A,2,3,9,A,好，了解了。
2_0003_0010_B,2,3,10,B,请问您还有其他想要了解的吗？
2_0003_0011_A,2,3,11,A,你们这儿有什么休闲类的服务吗？
2_0003_0012_B,2,3,12,B,我们养老院设有健身区和文娱区，包括健身活动区、手工活动室、棋牌活动室等。
2_0003_0013_A,2,3,13,A,棋牌活动室里都有什么棋？
2_0003_0014_B,2,3,14,B,有象棋、围棋、西洋棋等。
2_0003_0015_A,2,3,15,A,最受欢迎的是哪类棋？
2_0003_0016_B,2,3,16,B,围棋最受欢迎。
2_0003_0017_A,2,3,17,A,那我要是想玩象棋却没人陪我玩，那怎么办？
2_0003_0018_B,2,3,18,B,不用担心，如果找不到其他玩伴，将有专业的文娱机器人陪您下棋。
2_0003_0019_A,2,3,19,A,那还挺不错的呢。
2_0003_0020_B,2,3,20,B,是的。
2_0003_0021_A,2,3,21,A,对了……这有麻将吗？我挺喜欢打麻将的。
2_0003_0022_B,2,3,22,B,有的，麻将桌也设置在了文娱区。
2_0003_0023_A,2,3,23,A,这儿一共有几桌麻将？
2_0003_0024_B,2,3,24,B,一共有六桌。
2_0003_0025_A,2,3,25,A,不需要预约吧？
2_0003_0026_B,2,3,26,B,不需要预约，直接前往文娱区即可。
2_0003_0027_A,2,3,27,A,那你给我带个路吧，我现在就想去文娱区。
2_0003_0028_B,2,3,28,B,好的，请您跟我走。
2_0004_0001_A,2,4,1,A,你好。
2_0004_0002_B,2,4,2,B,您好，请问有什么需要吗？
2_0004_0003_A,2,4,3,A,你们养老院主要的老年人用房有哪些？可以给我介绍一下吗？
2_0004_0004_B,2,4,4,B,老年人主要用房包括生活用房、卫生保健室、文化娱乐区、康复训练室、心理咨询室、临终关怀室等。
2_0004_0005_A,2,4,5,A,好，差不多了解了。那生活用房主要包括什么呢？
2_0004_0006_B,2,4,6,B,生活用房包括居室、沐浴室、餐厅、会客聊天厅、护理员值班室。为方便老年人生活，居室内还设了卫生间。我们养老院的生活用房建设满足了老年人在院内生活起居方面的基本需要。
2_0004_0007_A,2,4,7,A,听起来还挺不错的。
2_0004_0008_B,2,4,8,B,是的，请问您还有其他想要了解的信息吗？
2_0004_0009_A,2,4,9,A,你刚才提到了卫生保健室，这个一般是用来干什么的呢？
2_0004_0010_B,2,4,10,B,卫生保健是的作用是为院内老年人提供常见疾病的诊断治疗、常见慢性病的非治疗性医疗护理及一般的卫生保健服务。
2_0004_0011_A,2,4,11,A,哦，了解了。
2_0004_0012_B,2,4,12,B,请问还有其他需要吗？
2_0004_0013_A,2,4,13,A,暂时没有了。
2_0004_0014_B,2,4,14,B,好的。
2_0005_0001_A,2,5,1,A,你好。
2_0005_0002_B,2,5,2,B,您好，请问您有什么需要吗？
2_0005_0003_A,2,5,3,A,有地图吗？我想看看这个养老院的地图。
2_0005_0004_B,2,5,4,B,有的，已为您将地图投放至显示屏，请您查看。
2_0005_0005_A,2,5,5,A,好嘞，谢谢。
2_0005_0006_B,2,5,6,B,不客气。
2_0005_0007_A,2,5,7,A,我看这儿有个康复训练室，这是干什么用的？
2_0005_0008_B,2,5,8,B,康复训练室可以帮助老年人利用康复器械进行康复训练活动，恢复受损的身体机能，尽量降低老年人瘫痪、卧床及生活自理能力丧失的可能性。
2_0005_0009_A,2,5,9,A,那这个需要预约吗？
2_0005_0010_B,2,5,10,B,一般需要提前两小时预约。
2_0005_0011_A,2,5,11,A,哦，这样啊。
2_0005_0012_B,2,5,12,B,请问需要帮您预约吗？
2_0005_0013_A,2,5,13,A,要，就两小时之后吧。
2_0005_0014_B,2,5,14,B,请问您想要进行多久的训练呢？
2_0005_0015_A,2,5,15,A,一般是需要多久呢？
2_0005_0016_B,2,5,16,B,一般来说，康复训练时间需要根据当前身体状况和已确诊疾病而定，如果当前身体状态良好，则建议进行半小时的常规训练。
2_0005_0017_A,2,5,17,A,行，那就帮我预定半小时常规训练吧。
2_0005_0018_B,2,5,18,B,好的，已为您成功预定。
2_0005_0019_A,2,5,19,A,到点了能通知我一声吗？我怕我给忘了。
2_0005_0020_B,2,5,20,B,好的，到时将会通知您。
2_0005_0021_A,2,5,21,A,好。
2_0005_0022_B,2,5,22,B,请问您还有什么其他需要吗？
2_0005_0023_A,2,5,23,A,没有了。
2_0005_0024_B,2,5,24,B,好的，很高兴为您服务。
2_0006_0001_A,2,6,1,A,你好。
2_0006_0002_B,2,6,2,B,您好，请问有什么能为您服务的吗？
2_0006_0003_A,2,6,3,A,我想问一下，你们养老院养老床位一共有多少？
2_0006_0004_B,2,6,4,B,目前养老床位共有一百一十六张。
2_0006_0005_A,2,6,5,A,都住满了吗？
2_0006_0006_B,2,6,6,B,没有，目前入住率大约为百分之六十六。
2_0006_0007_A,2,6,7,A,好，了解了。
2_0006_0008_B,2,6,8,B,好的，很高兴为您服务。
2_0007_0001_A,2,7,1,A,你好。
2_0007_0002_B,2,7,2,B,您好，请问有什么需要吗？
2_0007_0003_A,2,7,3,A,这养老院有心理咨询中心吗？
2_0007_0004_B,2,7,4,B,我们养老院有配备心理咨询室，需要我为您介绍一下吗？
2_0007_0005_A,2,7,5,A,需要，你给我介绍一下吧。
2_0007_0006_B,2,7,6,B,好的，在我们的心理咨询室里，社会工作者对老年人的情况进行评估后开展个案辅导，帮助老年人摆脱负面情绪的困扰，安全度过老年期可能遭遇的危机。
2_0007_0007_A,2,7,7,A,那去心理咨询室需要预约吗？
2_0007_0008_B,2,7,8,B,要的，需要根据想要咨询的具体方面的问题进行预约。
2_0007_0009_A,2,7,9,A,那我想要预约一下。
2_0007_0010_B,2,7,10,B,好的，那我这边先帮您预约一个心理评估，心理评估结束后将有专人为您转接心理咨询服务，您看这样可以吗？
2_0007_0011_A,2,7,11,A,可以的。
2_0007_0012_B,2,7,12,B,好的。请问您想把心理评估预约到什么时候呢？
2_0007_0013_A,2,7,13,A,约到这周一早上吧。
2_0007_0014_B,2,7,14,B,请问周一早上九点整可以吗？
2_0007_0015_A,2,7,15,A,可以。
2_0007_0016_B,2,7,16,B,好的，已为您预约，请您于周一早上九点去心理咨询室接受心理评估服务。
2_0007_0017_A,2,7,17,A,好。
2_0007_0018_B,2,7,18,B,请问还有什么需要吗？
2_0007_0019_A,2,7,19,A,没有了。
2_0007_0020_B,2,7,20,B,好的，很高兴可以为您服务。
2_0008_0001_A,2,8,1,A,你好。
2_0008_0002_B,2,8,2,B,您好，请问有什么可以帮您的吗？
2_0008_0003_A,2,8,3,A,我想了解一下你们这个卫生保健室。它是能看病的吗？
2_0008_0004_B,2,8,4,B,养老院的卫生保健室可以为院内老年人提供常见疾病的诊断治疗、常见慢性病的非治疗性医疗护理及一般的卫生保健服务。对于有些病症，是需要在院外的专业医院进行诊治的。
2_0008_0005_A,2,8,5,A,好，了解了。我最近有点感冒，能去吗？
2_0008_0006_B,2,8,6,B,可以的，建议您前往卫生保健室进行初步诊断，那边的医护人员可以给您具体的解答和帮助。
2_0008_0007_A,2,8,7,A,好……但是我不知道怎么走。
2_0008_0008_B,2,8,8,B,请您跟我来，我为您带路。
2_0008_0009_A,2,8,9,A,好，那谢谢你了。
2_0008_0010_B,2,8,10,B,不客气，很高兴为您服务。
2_0009_0001_A,2,9,1,A,你好。
2_0009_0002_B,2,9,2,B,您好，请问有什么需要吗？
2_0009_0003_A,2,9,3,A,这养老院有停车场吗？我儿子待会要来看望我，我担心他的车没地方停。
2_0009_0004_B,2,9,4,B,有的，我们养老院设有一百二十个停车位。
2_0009_0005_A,2,9,5,A,好，那我就放心了。
2_0009_0006_B,2,9,6,B,请问您还有其他需要吗？
2_0009_0007_A,2,9,7,A,暂时没有了。
2_0009_0008_B,2,9,8,B,好的，很高兴为您服务。
2_0010_0001_A,2,10,1,A,你好。
2_0010_0002_B,2,10,2,B,您好，请问您有什么需要吗？
2_0010_0003_A,2,10,3,A,我们这养老院有定期的身体检查吗？
2_0010_0004_B,2,10,4,B,有的，我们养老院有配备专业的医生和护士，他们会定期在指定医院组织老年人进行健康检查。
2_0010_0005_A,2,10,5,A,那还挺好。
2_0010_0006_B,2,10,6,B,是的。
2_0010_0007_A,2,10,7,A,这医院是这养老院合作的医院吗？还是随机指定的医院？
2_0010_0008_B,2,10,8,B,是我们养老院合作的医院。养老院会和附近的医院合作，以及时处理老人们的突发疾病。
2_0010_0009_A,2,10,9,A,哦哦，这样。
2_0010_0010_B,2,10,10,B,请问您还有其他想了解的吗？
2_0010_0011_A,2,10,11,A,那这检查还额外收费吗？
2_0010_0012_B,2,10,12,B,我们养老院组织的身体定期检查是不额外收费的。
2_0010_0013_A,2,10,13,A,好，我知道了。
2_0010_0014_B,2,10,14,B,好的，很高兴为您服务。
2_0011_0001_A,2,11,1,A,你好。
2_0011_0002_B,2,11,2,B,您好，请问有什么能为您服务的吗？
2_0011_0003_A,2,11,3,A,我想咨询一些有关这个养老院的问题。
2_0011_0004_B,2,11,4,B,好的，您请说。
2_0011_0005_A,2,11,5,A,这个养老院平时会有什么志愿者或者社工过来探望老人吗？
2_0011_0006_B,2,11,6,B,有的，一些志愿者、居委会工作人员和中小学生会来我们养老院定期探望老人们。
2_0011_0007_A,2,11,7,A,那他们来的时候会有什么活动吗？
2_0011_0008_B,2,11,8,B,探望者们会和老人一起做老人们喜欢或需要的事情，比如玩牌、下棋、聊天、做手工等等。
2_0011_0009_A,2,11,9,A,这活动还挺好的。
2_0011_0010_B,2,11,10,B,是的，这会大大丰富老人们晚年的精神生活，使他们感到社会的关怀，这有益于老人们的身心健康
2_0011_0011_A,2,11,11,A,那这些探望者是有筛选门槛的吗？
2_0011_0012_B,2,11,12,B,一般来说，志愿者们需要先得到专业人员的培训和辅导，以便更好地服务老人们。
2_0011_0013_A,2,11,13,A,好的，我了解了。
2_0011_0014_B,2,11,14,B,好的，很高兴为您服务。
2_0012_0001_A,2,12,1,A,你好。
2_0012_0002_B,2,12,2,B,您好，请问有什么可以帮您的吗？
2_0012_0003_A,2,12,3,A,我想预约你们的额外服务。
2_0012_0004_B,2,12,4,B,请问您想预约哪个额外服务呢？
2_0012_0005_A,2,12,5,A,心理咨询吧。
2_0012_0006_B,2,12,6,B,好的，请问您想预约什么时候的心理咨询服务呢？
2_0012_0007_A,2,12,7,A,今天下午四点的。
2_0012_0008_B,2,12,8,B,很抱歉，这个时段已经约满了，帮您调整到今天下午三点可以吗？
2_0012_0009_A,2,12,9,A,那下午两点呢？
2_0012_0010_B,2,12,10,B,很抱歉，这个时段也已经约满了。
2_0012_0011_A,2,12,11,A,行吧，那就下午三点。
2_0012_0012_B,2,12,12,B,好的，已经为您成功预约，请您于今日下午三点准时到达心理咨询中心，到时将有专人为您服务。
2_0012_0013_A,2,12,13,A,嗯，好的。
2_0012_0014_B,2,12,14,B,请问您还需要其他的帮助吗？
2_0012_0015_A,2,12,15,A,不需要了，谢谢。
2_0012_0016_B,2,12,16,B,不客气，为您服务是我的荣幸。
2_0013_0001_A,2,13,1,A,你好。
2_0013_0002_B,2,13,2,B,您好，请问您需要什么帮助呢？
2_0013_0003_A,2,13,3,A,听说这养老院的健身区挺好玩的，里面都有些什么呀？
2_0013_0004_B,2,13,4,B,我们的健身区配备了许多健身设施，有蹬脚机、扭腰机、足力牵引器等等。
2_0013_0005_A,2,13,5,A,哪个设施最受欢迎呀？
2_0013_0006_B,2,13,6,B,扭腰机最受老人们的欢迎。
2_0013_0007_A,2,13,7,A,一共有几个扭腰机呢？
2_0013_0008_B,2,13,8,B,健身区一共设有八个扭腰机。
2_0013_0009_A,2,13,9,A,那我下次去试试。
2_0013_0010_B,2,13,10,B,请问您还想了解什么吗？
2_0013_0011_A,2,13,11,A,我听说还有个文娱区？
2_0013_0012_B,2,13,12,B,是的，我们的文娱区也很受老人们欢迎，里面设有许多文娱项目。
2_0013_0013_A,2,13,13,A,比如呢？
2_0013_0014_B,2,13,14,B,文娱区里有麻将、西洋棋、象棋、围棋等，还会举办剪纸、书法等小课堂。
2_0013_0015_A,2,13,15,A,还挺丰富的嘛。
2_0013_0016_B,2,13,16,B,是的。
2_0013_0017_A,2,13,17,A,麻将玩的人多吗？
2_0013_0018_B,2,13,18,B,挺多的，麻将是文娱区最受欢迎的项目。
2_0013_0019_A,2,13,19,A,太好了，我最喜欢打麻将了。
2_0013_0020_B,2,13,20,B,建议您可以去文娱区打打麻将。
2_0013_0021_A,2,13,21,A,文娱区怎么走？我现在就想去。
