FileName,DomainID,ConversationID,UtteranceID,SpeakerID,PlainText
4_0001_0001_A,4,1,1,A,小天。
4_0001_0002_B,4,1,2,B,我在，请问有什么可以帮您？
4_0001_0003_A,4,1,3,A,什么时候才能轮到我就诊？
4_0001_0004_B,4,1,4,B,请问您的就诊序号是多少？
4_0001_0005_A,4,1,5,A,十八号。
4_0001_0006_B,4,1,6,B,现在就诊患者为七号，请您稍等，轮到您时我会叫您。
4_0001_0007_A,4,1,7,A,好的，谢谢。
4_0001_0008_B,4,1,8,B,不用客气。
4_0002_0001_A,4,2,1,A,小天。
4_0002_0002_B,4,2,2,B,我在，请问有什么可以帮您？
4_0002_0003_A,4,2,3,A,在哪里测体温？
4_0002_0004_B,4,2,4,B,请您前往护士站领取体温计，舌下三分钟，腋下五分钟。
4_0002_0005_A,4,2,5,A,好的，谢谢。
4_0002_0006_B,4,2,6,B,不用客气。
4_0003_0001_A,4,3,1,A,小天。
4_0003_0002_B,4,3,2,B,我在，请问有什么可以帮您？
4_0003_0003_A,4,3,3,A,内科怎么走？
4_0003_0004_B,4,3,4,B,您好，内科在医院三楼东侧，您可以向东直行一百米后乘坐电梯上三楼。
4_0003_0005_A,4,3,5,A,好的，谢谢。
4_0003_0006_B,4,3,6,B,不用客气。
4_0004_0001_A,4,4,1,A,小天。
4_0004_0002_B,4,4,2,B,不用客气。
4_0004_0003_A,4,4,3,A,我需要借用轮椅推车。
4_0004_0004_B,4,4,4,B,请您前往一五二室借用轮椅或推车，需要您留下身份证，以便管理。
4_0004_0005_A,4,4,5,A,我可以借多久呢？
4_0004_0006_B,4,4,6,B,借用时间不限，但需要轮椅病人较多，用后请速还，谢谢配合。
4_0004_0007_A,4,4,7,A,好的，谢谢。
4_0004_0008_B,4,4,8,B,不用客气。
4_0005_0001_A,4,5,1,A,小天。
4_0005_0002_B,4,5,2,B,我在，请问有什么可以帮您？
4_0005_0003_A,4,5,3,A,能帮我看看化验单吗？
4_0005_0004_B,4,5,4,B,您化验项目的专业性很强，我看不太懂，您可以到病理化验门诊请医生看。
4_0005_0005_A,4,5,5,A,好的，谢谢。
4_0005_0006_B,4,5,6,B,不用客气。
4_0006_0001_A,4,6,1,A,小天。
4_0006_0002_B,4,6,2,B,我在，请问有什么可以帮您？
4_0006_0003_A,4,6,3,A,帮我挂一个皮肤科专家的号。
4_0006_0004_B,4,6,4,B,好的，请问您选择以下哪一位医生？
4_0006_0005_A,4,6,5,A,就第一个吧。
4_0006_0006_B,4,6,6,B,好的，请问您准备在以下哪个时间段就诊？
4_0006_0007_A,4,6,7,A,下午两点。
4_0006_0008_B,4,6,8,B,已为您预约，请扫描下方二维码缴费。
4_0006_0009_A,4,6,9,A,扫好了。
4_0006_0010_B,4,6,10,B,挂号成功，请在下午两点前到达四三七室等待就诊。
4_0006_0011_A,4,6,11,A,好的，谢谢。
4_0006_0012_B,4,6,12,B,不用客气。
4_0007_0001_A,4,7,1,A,小天。
4_0007_0002_B,4,7,2,B,我在，请问有什么可以帮您？
4_0007_0003_A,4,7,3,A,帮我挂一个皮肤科专家的号。
4_0007_0004_B,4,7,4,B,不好意思，今天皮肤科专家的号已挂满。您可以更换一个时间。
4_0007_0005_A,4,7,5,A,明天还有号吗？
4_0007_0006_B,4,7,6,B,明天下午有号，请问您选择以下哪一位医生？
4_0007_0007_A,4,7,7,A,第一排第二个。
4_0007_0008_B,4,7,8,B,好的，请问您准备在以下哪个时间段就诊？
4_0007_0009_A,4,7,9,A,下午两点。
4_0007_0010_B,4,7,10,B,已为您预约，请扫描下方二维码缴费。
4_0007_0011_A,4,7,11,A,扫好了。
4_0007_0012_B,4,7,12,B,挂号成功，请在下午两点前到达三四零室等待就诊。
4_0007_0013_A,4,7,13,A,好的，谢谢。
4_0007_0014_B,4,7,14,B,不用客气。
4_0008_0001_A,4,8,1,A,小天。
4_0008_0002_B,4,8,2,B,我在，请问有什么可以帮您？
4_0008_0003_A,4,8,3,A,我最近吃不下饭，看见油腻的东西就想吐，应该挂什么科？
4_0008_0004_B,4,8,4,B,您好，食欲异常伴有上腹部不适、嗳气、胃胀、消瘦、厌食油腻、疲乏，建议首诊消化内科。
4_0008_0005_A,4,8,5,A,好的，谢谢。
4_0008_0006_B,4,8,6,B,不用客气。
4_0009_0001_A,4,9,1,A,小天。
4_0009_0002_B,4,9,2,B,我在，请问有什么可以帮您？
4_0009_0003_A,4,9,3,A,我最近吃不下饭，而且觉得很累，老是想睡觉休息，应该挂什么科？
4_0009_0004_B,4,9,4,B,您好，食欲异常伴有上腹部不适、嗳气、胃胀、消瘦、厌食油腻、疲乏，建议首诊消化内科。
4_0009_0005_A,4,9,5,A,好的，谢谢。
4_0009_0006_B,4,9,6,B,不用客气。
4_0010_0001_A,4,10,1,A,小天。
4_0010_0002_B,4,10,2,B,我在，请问有什么可以帮您？
4_0010_0003_A,4,10,3,A,我打球时摔了一下，想看看是不是肌肉拉伤，应该挂什么科？
4_0010_0004_B,4,10,4,B,您好，明显开放或闭合性骨折。肌肉韧带损伤，建议首诊骨科。
4_0010_0005_A,4,10,5,A,好的，谢谢。
4_0010_0006_B,4,10,6,B,不用客气。
4_0011_0001_A,4,11,1,A,小天。
4_0011_0002_B,4,11,2,B,我在，请问有什么可以帮您？
4_0011_0003_A,4,11,3,A,我最近便血，血很红，应该挂什么科？
4_0011_0004_B,4,11,4,B,您好，大便有血、血呈鲜红色，建议首诊普外科。
4_0011_0005_A,4,11,5,A,好的，谢谢。
4_0011_0006_B,4,11,6,B,不用客气。
4_0012_0001_A,4,12,1,A,小天。
4_0012_0002_B,4,12,2,B,我在，请问有什么可以帮您？
4_0012_0003_A,4,12,3,A,我肘关节很痛，其他地方都没事，应该挂什么科？
4_0012_0004_B,4,12,4,B,您好，关节痛且仅一关节肿痛，建议首诊骨科。
4_0012_0005_A,4,12,5,A,好的，谢谢。
4_0012_0006_B,4,12,6,B,不用客气。
4_0013_0001_A,4,13,1,A,小天。
4_0013_0002_B,4,13,2,B,我在，请问有什么可以帮您？
4_0013_0003_A,4,13,3,A,我牙疼，而且脸上其他地方也很痛，应该挂什么科？
4_0013_0004_B,4,13,4,B,您好，牙疼、伴有脸疼、鼻疼等情况，建议首诊耳鼻喉科。
4_0013_0005_A,4,13,5,A,好的，谢谢。
4_0013_0006_B,4,13,6,B,不用客气。
4_0014_0001_A,4,14,1,A,你好医生，请问一下看我肚子，能看出男女吗？
4_0014_0002_B,4,14,2,B,您好，通过肚子是没有办法看出男孩还是女孩的，可以通过超声检查确定胎儿的性别，不过国家规定是不允许透露胎儿性别的，生男生女都一样，没有必要非要生男孩或者女孩的。
4_0014_0003_A,4,14,3,A,好吧，谢谢您，看来还是得顺其自然啊。
4_0014_0004_B,4,14,4,B,不客气，很高兴能帮到您。
